word	start_s	end_s
WHERE	416.499	416.619
HE	416.639	416.699
COULD	416.719	416.860
SEE	416.940	417.100
ALONG	417.260	417.480
THE	417.561	417.641
SHORT	417.701	417.901
PASSAGE	418.001	418.402
TO	418.842	418.923
THE	418.963	419.063
OPEN	419.123	419.283
DAIRY	419.343	419.584
DOOR	419.644	419.864
NO	420.908	420.988
SIR	421.089	421.229
HE	421.350	421.410
ISN'T	421.510	421.771
HE'S	422.353	422.514
GONE	422.554	422.795
TO	422.815	422.896
ROSSETER	422.956	423.377
TO	423.498	423.578
SEE	423.618	423.719
MISTER	423.779	424.020
WEST	424.080	424.442
THE	424.642	424.723
FACTOR	424.763	425.144
ABOUT	425.385	425.566
THE	425.586	425.686
WOOL	425.706	425.847
BUT	426.951	427.031
THERE'S	427.051	427.271
FATHER	427.271	427.591
THE	427.652	427.792
BARN	427.812	428.112
SIR	428.252	428.432
IF	428.793	428.833
HE'D	428.893	429.053
BE	429.093	429.153
OF	429.233	429.313
ANY	429.354	429.474
USE	429.614	429.774
NO	431.076	431.176
THANK	431.277	431.457
YOU	431.517	431.637
I'LL	432.319	432.459
JUST	432.499	432.659
LOOK	432.699	432.819
AT	432.859	432.920
THE	432.940	433.040
WHELPS	433.060	433.380
AND	433.501	433.581
LEAVE	433.621	433.781
A	433.801	433.861
MESSAGE	433.881	434.182
ABOUT	434.242	434.422
THEM	434.462	434.603
WITH	434.683	434.783
YOUR	434.823	434.923
SHEPHERD	434.963	435.304
I	436.306	436.326
MUST	436.406	436.546
COME	436.566	436.707
ANOTHER	436.767	437.027
DAY	437.027	437.307
AND	437.367	437.448
SEE	437.488	437.628
YOUR	437.628	437.768
HUSBAND	437.828	438.189
I	439.511	439.531
WANT	439.611	439.731
TO	439.751	439.811
HAVE	439.851	439.991
A	439.991	440.051
CONSULTATION	440.071	440.672
WITH	440.732	440.873
HIM	440.933	441.073
ABOUT	441.173	441.413
HORSES	441.433	441.894
FOR	442.777	442.878
IF	442.958	443.018
HE'S	443.018	443.159
ANYWHERE	443.239	443.601
ON	443.661	443.701
THE	443.741	443.802
FARM	443.822	444.083
WE	444.143	444.223
CAN	444.263	444.364
SEND	444.444	444.625
FOR	444.685	444.786
HIM	444.846	444.926
IN	445.006	445.067
A	445.067	445.127
MINUTE	445.147	445.408
OH	446.373	446.453
SIR	446.714	446.995
SAID	447.817	447.958
MISSUS	447.998	448.239
POYSER	448.259	448.600
RATHER	448.680	448.941
ALARMED	449.021	449.403
YOU	449.985	450.065
WOULDN'T	450.125	450.426
LIKE	450.446	450.607
IT	450.647	450.787
AT	450.787	450.848
ALL	450.988	451.129
BUT	451.873	451.974
YOU	452.014	452.094
KNOW	452.154	452.255
MORE	452.315	452.496
ABOUT	452.557	452.758
THAT	452.798	452.959
THAN	453.019	453.139
I	453.200	453.220
DO	453.300	453.401
SIR	453.521	453.722
I	454.387	454.407
THINK	454.468	454.608
I	454.669	454.689
SHOULD	454.749	454.910
BE	454.930	454.990
DOING	455.050	455.272
YOU	455.272	455.372
A	455.452	455.472
SERVICE	455.533	455.874
TO	455.935	456.015
TURN	456.075	456.236
YOU	456.256	456.397
OUT	456.477	456.578
OF	456.638	456.678
SUCH	456.718	456.879
A	456.919	456.960
PLACE	457.000	457.301
I	458.406	458.426
KNOW	458.466	458.587
HIS	458.627	458.707
FARM	458.767	459.027
IS	459.308	459.368
IN	459.428	459.488
BETTER	459.508	459.749
ORDER	459.869	460.049
THAN	460.130	460.250
ANY	460.370	460.490
OTHER	460.610	460.771
WITHIN	460.831	461.051
TEN	461.131	461.312
MILES	461.392	461.733
OF	461.773	461.813
US	461.933	462.013
AND	462.895	462.975
AS	463.035	463.115
FOR	463.195	463.256
THE	463.316	463.396
KITCHEN	463.396	463.757
HE	463.997	464.077
ADDED	464.197	464.418
SMILING	464.478	464.879
I	465.500	465.520
DON'T	465.580	465.740
BELIEVE	465.800	466.081
THERE'S	466.101	466.382
ONE	466.482	466.562
IN	466.602	466.642
THE	466.682	466.762
KINGDOM	466.782	467.083
TO	467.143	467.203
BEAT	467.223	467.363
IT	467.444	467.544
BY	468.426	468.506
THE	468.546	468.626
BY	468.647	468.827
I'VE	468.887	469.568
NEVER	469.608	469.769
SEEN	469.809	469.949
YOUR	469.989	470.089
DAIRY	470.129	470.430
I	470.891	470.911
MUST	470.971	471.131
SEE	471.151	471.272
YOUR	471.292	471.392
DAIRY	471.432	471.672
MISSUS	471.752	472.013
POYSER	472.033	472.354
THIS	473.336	473.536
MISSUS	473.736	473.976
POYSER	473.996	474.296
SAID	474.357	474.557
BLUSHING	474.577	474.917
AND	475.498	475.578
BELIEVING	475.618	475.978
THAT	476.038	476.138
THE	476.158	476.238
CAPTAIN	476.278	476.619
WAS	476.999	477.099
REALLY	477.159	477.420
INTERESTED	477.460	478.020
IN	478.060	478.100
HER	478.140	478.240
MILK	478.260	478.400
PANS	478.481	478.821
AND	479.562	479.642
WOULD	479.682	479.822
ADJUST	479.842	480.122
HIS	480.202	480.302
OPINION	480.362	480.683
OF	480.743	480.803
HER	480.843	480.983
TO	481.223	481.303
THE	481.343	481.423
APPEARANCE	481.423	481.804
OF	481.844	481.924
HER	481.944	482.044
DAIRY	482.064	482.364
OH	483.570	483.631
I'VE	483.711	483.873
NO	483.933	484.034
DOUBT	484.114	484.336
IT'S	484.416	484.517
IN	484.578	484.618
CAPITAL	484.678	485.021
ORDER	485.182	485.363
